GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
CASO_natural_gas_fired_combined_cycle_2,2040,Natural Gas Fired Combined Cycle,CASO,Naturalgas,7458.1,0,.,0,7.58174e+07
CASO_natural_gas_fired_combined_cycle_2,2050,Natural Gas Fired Combined Cycle,CASO,Naturalgas,7458.1,0,.,0,7.58174e+07
CASO_natural_gas_fired_combustion_turbine_1,2030,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,1865.3,0,.,0,2.60116e+07
CASO_natural_gas_fired_combustion_turbine_1,2040,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,1544.6,0,.,0,2.15394e+07
CASO_natural_gas_fired_combustion_turbine_1,2050,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,1402.5,0,.,0,1.95579e+07
CASO_natural_gas_fired_combustion_turbine_2,2030,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,4574.6,0,.,0,4.65109e+07
CASO_natural_gas_fired_combustion_turbine_2,2040,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,3954.6,0,.,0,4.02072e+07
CASO_natural_gas_fired_combustion_turbine_2,2050,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,3954.6,0,.,0,4.02072e+07
CASO_natural_gas_internal_combustion_engine_1,2030,Natural Gas Internal Combustion Engine,CASO,Naturalgas,50.2,0,.,0,1.0542e+06
CASO_natural_gas_internal_combustion_engine_1,2040,Natural Gas Internal Combustion Engine,CASO,Naturalgas,50.2,0,.,0,1.0542e+06
CASO_natural_gas_internal_combustion_engine_1,2050,Natural Gas Internal Combustion Engine,CASO,Naturalgas,48.6,0,.,0,1.0206e+06
CASO_natural_gas_steam_turbine_1,2030,Natural Gas Steam Turbine,CASO,Naturalgas,1.5,0,.,0,76954.5
CASO_natural_gas_steam_turbine_1,2040,Natural Gas Steam Turbine,CASO,Naturalgas,0,0,.,0,0
CASO_natural_gas_steam_turbine_1,2050,Natural Gas Steam Turbine,CASO,Naturalgas,0,0,.,0,0
CASO_onshore_wind_turbine_1,2030,Onshore Wind Turbine,CASO,Wind,3945.1,0,.,0,1.69639e+08
CASO_onshore_wind_turbine_1,2040,Onshore Wind Turbine,CASO,Wind,3464.4,0,.,0,1.48969e+08
CASO_onshore_wind_turbine_1,2050,Onshore Wind Turbine,CASO,Wind,416.1,0,.,0,1.78923e+07
CASO_petroleum_liquids_1,2030,Petroleum Liquids,CASO,Distillate,14.1,0,.,0,296100
CASO_petroleum_liquids_1,2040,Petroleum Liquids,CASO,Distillate,10.8,0,.,0,226800
CASO_petroleum_liquids_1,2050,Petroleum Liquids,CASO,Distillate,7.8,0,.,0,163800
CASO_small_hydroelectric_1,2030,Small Hydroelectric,CASO,Water,229.2,0,.,0,1.07834e+07
CASO_small_hydroelectric_1,2040,Small Hydroelectric,CASO,Water,229.2,0,.,0,1.07834e+07
CASO_small_hydroelectric_1,2050,Small Hydroelectric,CASO,Water,225.2,0,.,0,1.05952e+07
CASO_solar_photovoltaic_1,2030,Solar Photovoltaic,CASO,Solar,14103.6,0,.,0,3.19066e+08
CASO_solar_photovoltaic_1,2040,Solar Photovoltaic,CASO,Solar,14068.3,0,.,0,3.18267e+08
CASO_solar_photovoltaic_1,2050,Solar Photovoltaic,CASO,Solar,7708.3,0,.,0,1.74385e+08
FRCC_batteries_1,2030,Batteries,FRCC,Electricity,555.2,0,1129.4,0,3.46167e+06
FRCC_batteries_1,2040,Batteries,FRCC,Electricity,0,0,0,0,0
FRCC_batteries_1,2050,Batteries,FRCC,Electricity,0,0,0,0,0
FRCC_biomass_1,2030,Biomass,FRCC,Waste_biomass,599.5,0,.,0,9.04346e+07
FRCC_biomass_1,2040,Biomass,FRCC,Waste_biomass,504.5,0,.,0,7.61038e+07
FRCC_biomass_1,2050,Biomass,FRCC,Waste_biomass,364.3,0,.,0,5.49547e+07
FRCC_biomass_2,2030,Biomass,FRCC,Waste_biomass,679.5,0,.,0,1.02503e+08
FRCC_biomass_2,2040,Biomass,FRCC,Waste_biomass,504.5,0,.,0,7.61038e+07
FRCC_biomass_2,2050,Biomass,FRCC,Waste_biomass,364.3,0,.,0,5.49547e+07
FRCC_conventional_hydroelectric_1,2030,Conventional Hydroelectric,FRCC,Water,43.5,0,.,0,2.04659e+06
FRCC_conventional_hydroelectric_1,2040,Conventional Hydroelectric,FRCC,Water,43.5,0,.,0,2.04659e+06
FRCC_conventional_hydroelectric_1,2050,Conventional Hydroelectric,FRCC,Water,43.5,0,.,0,2.04659e+06
FRCC_conventional_steam_coal_1,2030,Conventional Steam Coal,FRCC,Coal,3109,0,.,0,1.92226e+08
FRCC_conventional_steam_coal_1,2040,Conventional Steam Coal,FRCC,Coal,2523,0,.,0,1.55994e+08
FRCC_conventional_steam_coal_1,2050,Conventional Steam Coal,FRCC,Coal,453,0,.,0,2.80084e+07
FRCC_conventional_steam_coal_2,2030,Conventional Steam Coal,FRCC,Coal,674,0,.,0,5.14256e+07
FRCC_conventional_steam_coal_2,2040,Conventional Steam Coal,FRCC,Coal,442,0,.,0,3.37242e+07
FRCC_conventional_steam_coal_2,2050,Conventional Steam Coal,FRCC,Coal,442,0,.,0,3.37242e+07
FRCC_natural_gas_fired_combined_cycle_1,2030,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,2765.7,0,.,0,4.56119e+07
FRCC_natural_gas_fired_combined_cycle_1,2040,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,2587.7,0,.,0,4.26763e+07
FRCC_natural_gas_fired_combined_cycle_1,2050,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,2531.7,0,.,0,4.17528e+07
FRCC_natural_gas_fired_combined_cycle_2,2030,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,33276,0,.,0,3.99891e+08
FRCC_natural_gas_fired_combined_cycle_2,2040,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,32916,0,.,0,3.95565e+08
FRCC_natural_gas_fired_combined_cycle_2,2050,Natural Gas Fired Combined Cycle,FRCC,Naturalgas,32916,0,.,0,3.95565e+08
FRCC_natural_gas_fired_combustion_turbine_1,2030,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,8674.4,0,.,0,8.6098e+07
FRCC_natural_gas_fired_combustion_turbine_1,2040,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,8448.4,0,.,0,8.38549e+07
FRCC_natural_gas_fired_combustion_turbine_1,2050,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,7369.4,0,.,0,7.31452e+07
FRCC_natural_gas_fired_combustion_turbine_2,2030,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,1068.9,0,.,0,1.49058e+07
FRCC_natural_gas_fired_combustion_turbine_2,2040,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,922.7,0,.,0,1.28671e+07
FRCC_natural_gas_fired_combustion_turbine_2,2050,Natural Gas Fired Combustion Turbine,FRCC,Naturalgas,346.2,0,.,0,4.82776e+06
FRCC_natural_gas_internal_combustion_engine_1,2030,Natural Gas Internal Combustion Engine,FRCC,Naturalgas,283.5,0,.,0,5.9535e+06
FRCC_natural_gas_internal_combustion_engine_1,2040,Natural Gas Internal Combustion Engine,FRCC,Naturalgas,262.9,0,.,0,5.5209e+06
FRCC_natural_gas_internal_combustion_engine_1,2050,Natural Gas Internal Combustion Engine,FRCC,Naturalgas,250.9,0,.,0,5.2689e+06
FRCC_natural_gas_steam_turbine_1,2030,Natural Gas Steam Turbine,FRCC,Naturalgas,335,0,.,0,1.0452e+07
FRCC_natural_gas_steam_turbine_1,2040,Natural Gas Steam Turbine,FRCC,Naturalgas,335,0,.,0,1.0452e+07
FRCC_natural_gas_steam_turbine_1,2050,Natural Gas Steam Turbine,FRCC,Naturalgas,335,0,.,0,1.0452e+07
FRCC_nuclear_1,2030,Nuclear,FRCC,Uranium,3737,0,.,0,7.22269e+08
FRCC_nuclear_1,2040,Nuclear,FRCC,Uranium,3737,0,.,0,7.22269e+08
FRCC_nuclear_1,2050,Nuclear,FRCC,Uranium,3737,0,.,0,7.22269e+08
FRCC_petroleum_liquids_1,2030,Petroleum Liquids,FRCC,Distillate,451.6,0,.,0,9.4836e+06
FRCC_petroleum_liquids_1,2040,Petroleum Liquids,FRCC,Distillate,149.7,0,.,0,3.1437e+06
FRCC_petroleum_liquids_1,2050,Petroleum Liquids,FRCC,Distillate,4,0,.,0,84000
FRCC_solar_photovoltaic_1,2030,Solar Photovoltaic,FRCC,Solar,9462.5,0,.,0,2.1407e+08
FRCC_solar_photovoltaic_1,2040,Solar Photovoltaic,FRCC,Solar,9437.5,0,.,0,2.13505e+08
FRCC_solar_photovoltaic_1,2050,Solar Photovoltaic,FRCC,Solar,7442.9,0,.,0,1.68381e+08
ISNE_batteries_1,2030,Batteries,ISNE,Electricity,368.4,0,761.3,0,2.29697e+06
ISNE_batteries_1,2040,Batteries,ISNE,Electricity,0,0,0,0,0
ISNE_batteries_1,2050,Batteries,ISNE,Electricity,0,0,0,0,0
ISNE_biomass_1,2030,Biomass,ISNE,Waste_biomass,272.9,0,.,0,4.1167e+07
ISNE_biomass_1,2040,Biomass,ISNE,Waste_biomass,102.6,0,.,0,1.54772e+07
ISNE_biomass_1,2050,Biomass,ISNE,Waste_biomass,0,0,.,0,0
ISNE_biomass_2,2030,Biomass,ISNE,Waste_biomass,559.1,0,.,0,8.43402e+07
ISNE_biomass_2,2040,Biomass,ISNE,Waste_biomass,349.6,0,.,0,5.27372e+07
ISNE_biomass_2,2050,Biomass,ISNE,Waste_biomass,165.7,0,.,0,2.49958e+07
ISNE_conventional_hydroelectric_1,2030,Conventional Hydroelectric,ISNE,Water,826.4,0,.,0,3.88805e+07
ISNE_conventional_hydroelectric_1,2040,Conventional Hydroelectric,ISNE,Water,562.9,0,.,0,2.64833e+07
ISNE_conventional_hydroelectric_1,2050,Conventional Hydroelectric,ISNE,Water,507.1,0,.,0,2.3858e+07
ISNE_conventional_steam_coal_1,2030,Conventional Steam Coal,ISNE,Coal,330,0,.,0,2.58647e+07
ISNE_conventional_steam_coal_1,2040,Conventional Steam Coal,ISNE,Coal,0,0,.,0,0
ISNE_conventional_steam_coal_1,2050,Conventional Steam Coal,ISNE,Coal,0,0,.,0,0
ISNE_hydroelectric_pumped_storage_1,2030,Hydroelectric Pumped Storage,ISNE,Electricity,1768,0,27404,0,8.31809e+07
ISNE_hydroelectric_pumped_storage_1,2040,Hydroelectric Pumped Storage,ISNE,Electricity,1768,0,27404,0,8.31809e+07
ISNE_hydroelectric_pumped_storage_1,2050,Hydroelectric Pumped Storage,ISNE,Electricity,1768,0,27404,0,8.31809e+07
ISNE_natural_gas_fired_combined_cycle_1,2030,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,3811.7,0,.,0,6.28626e+07
ISNE_natural_gas_fired_combined_cycle_1,2040,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,3607.2,0,.,0,5.94899e+07
ISNE_natural_gas_fired_combined_cycle_1,2050,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,3346.2,0,.,0,5.51855e+07
ISNE_natural_gas_fired_combined_cycle_2,2030,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,10499,0,.,0,1.02754e+08
ISNE_natural_gas_fired_combined_cycle_2,2040,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,10499,0,.,0,1.02754e+08
ISNE_natural_gas_fired_combined_cycle_2,2050,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,10499,0,.,0,1.02754e+08
ISNE_natural_gas_fired_combustion_turbine_1,2030,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,911.3,0,.,0,1.27081e+07
ISNE_natural_gas_fired_combustion_turbine_1,2040,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,907.3,0,.,0,1.26523e+07
ISNE_natural_gas_fired_combustion_turbine_1,2050,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,832.3,0,.,0,1.16064e+07
ISNE_natural_gas_fired_combustion_turbine_2,2030,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,1428,0,.,0,1.50543e+07
ISNE_natural_gas_fired_combustion_turbine_2,2040,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,1428,0,.,0,1.50543e+07
ISNE_natural_gas_fired_combustion_turbine_2,2050,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,1384,0,.,0,1.45905e+07
ISNE_natural_gas_internal_combustion_engine_1,2030,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,57.4,0,.,0,1.2054e+06
ISNE_natural_gas_internal_combustion_engine_1,2040,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,57.4,0,.,0,1.2054e+06
ISNE_natural_gas_internal_combustion_engine_1,2050,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,52.4,0,.,0,1.1004e+06
ISNE_natural_gas_steam_turbine_1,2030,Natural Gas Steam Turbine,ISNE,Naturalgas,41.9,0,.,0,2.1496e+06
ISNE_natural_gas_steam_turbine_1,2040,Natural Gas Steam Turbine,ISNE,Naturalgas,17.2,0,.,0,882412
ISNE_natural_gas_steam_turbine_1,2050,Natural Gas Steam Turbine,ISNE,Naturalgas,10.2,0,.,0,523291
ISNE_nuclear_1,2030,Nuclear,ISNE,Uranium,3348.1,0,.,0,7.49589e+08
ISNE_nuclear_1,2040,Nuclear,ISNE,Uranium,3348.1,0,.,0,7.49589e+08
