TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
10-19,2030,NWPP,SPPN,53,2877.9361274282305,0.8314707744293214,0.95,1.4352451274614774e-05,1.3634828710884034e-05,1.6148925843767445
10-19,2040,NWPP,SPPN,53,2877.9361274282305,0.8314707744293214,0.95,7.034869716483077e-05,6.683126230658923e-05,7.915413694731373
10-19,2050,NWPP,SPPN,53,2877.9361274282305,0.8314707744293214,0.95,0.0004862048317005251,0.0004618945901154988,54.706235344623764
10-9,2030,NWPP,MISW,54,14040.700523946523,0.7758650777462648,0.95,200.00000007309808,190.00000006944316,31143947.55464467
10-9,2040,NWPP,MISW,54,14040.700523946523,0.7758650777462648,0.95,200.0000000764708,190.00000007264725,31143947.55516987
10-9,2050,NWPP,MISW,54,14040.700523946523,0.7758650777462648,0.95,200.0000000868894,190.00000008254491,31143947.55679225
17-19,2030,RMRG,SPPN,55,780.5713741841813,0.9555074295654297,0.95,1595.2558851854692,1515.4930909261957,54822566.79945562
17-19,2040,RMRG,SPPN,55,780.5713741841813,0.9555074295654297,0.95,3046.5282585869572,2894.2018456576093,104696995.9577329
17-19,2050,RMRG,SPPN,55,780.5713741841813,0.9555074295654297,0.95,4220.2858312109065,4009.271539650361,145034350.94204754
17-18,2030,RMRG,SPPC,56,936.6269837220768,0.946612263671875,0.95,1675.9201062136276,1592.124100902946,64548542.21858731
17-18,2040,RMRG,SPPC,56,936.6269837220768,0.946612263671875,0.95,3601.9405183462322,3421.8434924289204,138729769.25051314
17-18,2050,RMRG,SPPC,56,936.6269837220768,0.946612263671875,0.95,8352.183712341099,7934.574526724044,321686744.47821534
24-25,2030,SRSG,TRE,57,1692.23667175099,0.8544432871777949,0.95,3.1004840237799236e-05,2.9454598225909273e-05,2.3871363558555876
24-25,2040,SRSG,TRE,57,1692.23667175099,0.8544432871777949,0.95,3783.0000565904056,3593.850053760885,291262167.456074
24-25,2050,SRSG,TRE,57,1692.23667175099,0.8544432871777949,0.95,6661.563322039495,6328.48515593752,512889596.298831
