GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
MISE_offshorewind_class12_moderate_floating_0_2,2050,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,2.92023e-08,.,0.170608
MISE_offshorewind_class12_moderate_floating_0_3,2030,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,3.65269e-06,.,16.6468
MISE_offshorewind_class12_moderate_floating_0_3,2040,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,5.26526e-06,.,22.462
MISE_offshorewind_class12_moderate_floating_0_3,2050,OffShoreWind_Class12_Moderate_floating_0,MISE,Wind,3.58551e-08,.,0.221669
MISS_naturalgas_ccccsavgcf_conservative_0,2030,NaturalGas_CCCCSAvgCF_Conservative,MISS,Naturalgas,2.78791e-06,.,6.87597
MISS_naturalgas_ccccsavgcf_conservative_0,2040,NaturalGas_CCCCSAvgCF_Conservative,MISS,Naturalgas,9.39611e-07,.,2.15782
MISS_naturalgas_ccccsavgcf_conservative_0,2050,NaturalGas_CCCCSAvgCF_Conservative,MISS,Naturalgas,4.54707e-06,.,9.65011
MISS_naturalgas_ccavgcf_moderate_0,2030,NaturalGas_CCAvgCF_Moderate,MISS,Naturalgas,1.08043e-05,.,10.3456
MISS_naturalgas_ccavgcf_moderate_0,2040,NaturalGas_CCAvgCF_Moderate,MISS,Naturalgas,3.2211e-06,.,2.95653
MISS_naturalgas_ccavgcf_moderate_0,2050,NaturalGas_CCAvgCF_Moderate,MISS,Naturalgas,762.167,.,6.73292e+08
MISS_naturalgas_ctavgcf_moderate_0,2030,NaturalGas_CTAvgCF_Moderate,MISS,Naturalgas,7.34766e-06,.,6.1826
MISS_naturalgas_ctavgcf_moderate_0,2040,NaturalGas_CTAvgCF_Moderate,MISS,Naturalgas,2.4378e-06,.,1.93445
MISS_naturalgas_ctavgcf_moderate_0,2050,NaturalGas_CTAvgCF_Moderate,MISS,Naturalgas,2.91548e-05,.,22.0616
MISS_battery_moderate_0,2030,Battery_*_Moderate,MISS,Electricity,7.32904e-05,8.61758e-05,19.3398
MISS_battery_moderate_0,2040,Battery_*_Moderate,MISS,Electricity,0.000120154,0.000351794,44.1883
