STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
SPPC_battery_moderate_0,2040,5731.902889215584
SPPN_battery_moderate_0,2040,2538.5102370096147
SPPS_battery_moderate_0,2040,0.0026129466571923016
SRCA_battery_moderate_0,2040,78295.22848750562
SRCE_battery_moderate_0,2040,39146.94851068607
SRSE_battery_moderate_0,2040,91830.11871443578
SRSG_battery_moderate_0,2040,32086.58167328034
TRE_battery_moderate_0,2040,16415.776357009898
TRE_WEST_battery_moderate_0,2040,0.0031040500487988345
BASN_battery_moderate_0,2050,59024.58983141203
CANO_battery_moderate_0,2050,82489.66510941669
CASO_battery_moderate_0,2050,136244.7225726557
FRCC_battery_moderate_0,2050,133839.52408724398
ISNE_battery_moderate_0,2050,104880.66170269864
MISC_battery_moderate_0,2050,61035.908470158014
MISE_battery_moderate_0,2050,52177.21458341271
MISS_battery_moderate_0,2050,36493.18260275429
MISW_battery_moderate_0,2050,104712.56091558943
NWPP_battery_moderate_0,2050,37459.250760113704
NYCW_battery_moderate_0,2050,12301.105862154607
NYUP_battery_moderate_0,2050,20849.112358141625
PJMC_battery_moderate_0,2050,21473.593578987246
PJMD_battery_moderate_0,2050,134552.25117924466
PJME_battery_moderate_0,2050,82929.05082654853
PJMW_battery_moderate_0,2050,244524.00095296046
RMRG_battery_moderate_0,2050,3017.249527257262
SPPC_battery_moderate_0,2050,13431.550765697762
SPPN_battery_moderate_0,2050,16809.977940720168
SPPS_battery_moderate_0,2050,0.0070984468556343
SRCA_battery_moderate_0,2050,135797.2548712012
SRCE_battery_moderate_0,2050,94460.90774396485
SRSE_battery_moderate_0,2050,130990.81172529615
SRSG_battery_moderate_0,2050,83171.68459901231
TRE_battery_moderate_0,2050,52771.22520911921
TRE_WEST_battery_moderate_0,2050,0.011387976256988714
