GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
CANO_batteries_1,2012,2.0
CANO_batteries_1,2017,0.5
CANO_batteries_1,2018,0.5
CANO_batteries_1,2019,1.0
CANO_batteries_1,2020,2.9
CANO_batteries_1,2021,619.9
CANO_batteries_1,2022,603.8
CANO_batteries_1,2023,1071.0
CANO_batteries_1,2024,379.0
CANO_biomass_1,1938,7.5
CANO_biomass_1,1959,3.3
CANO_biomass_1,1975,2.0
CANO_biomass_1,1977,1.0
CANO_biomass_1,1978,19.9
CANO_biomass_1,1979,3.3
CANO_biomass_1,1980,1.5
CANO_biomass_1,1983,12.099999999999996
CANO_biomass_1,1985,16.0
CANO_biomass_1,1986,54.70000000000001
CANO_biomass_1,1987,101.4
CANO_biomass_1,1988,52.5
CANO_biomass_1,1989,212.70000000000005
CANO_biomass_1,1994,3.8
CANO_biomass_1,1996,4.6
CANO_biomass_1,1998,11.8
CANO_biomass_1,1999,6.9
CANO_biomass_1,2000,4.4
CANO_biomass_1,2002,4.3
CANO_biomass_1,2003,7.9
CANO_biomass_1,2004,29.500000000000007
CANO_biomass_1,2006,9.2
CANO_biomass_1,2007,9.0
CANO_biomass_1,2008,22.1
CANO_biomass_1,2011,3.8
CANO_biomass_1,2013,4.4
CANO_biomass_1,2014,2.6
CANO_biomass_1,2015,30.0
CANO_biomass_1,2016,1.0
CANO_biomass_1,2018,30.4
CANO_biomass_1,2019,2.0
CANO_biomass_1,2020,1.0
CANO_biomass_1,2021,7.0
CANO_biomass_1,2022,3.0
CANO_biomass_1,2023,2.0
CANO_biomass_2,1938,7.5
CANO_biomass_2,1959,3.3
CANO_biomass_2,1975,2.0
CANO_biomass_2,1977,1.0
CANO_biomass_2,1978,19.9
CANO_biomass_2,1979,3.3
CANO_biomass_2,1980,1.5
CANO_biomass_2,1983,12.099999999999996
CANO_biomass_2,1985,16.0
CANO_biomass_2,1986,54.70000000000001
CANO_biomass_2,1987,101.4
CANO_biomass_2,1988,52.5
CANO_biomass_2,1989,212.70000000000005
CANO_biomass_2,1994,3.8
CANO_biomass_2,1996,4.6
CANO_biomass_2,1998,11.8
CANO_biomass_2,1999,6.9
CANO_biomass_2,2000,4.4
CANO_biomass_2,2002,4.3
CANO_biomass_2,2003,7.9
CANO_biomass_2,2004,29.500000000000007
CANO_biomass_2,2006,9.2
CANO_biomass_2,2007,9.0
CANO_biomass_2,2008,22.1
CANO_biomass_2,2011,3.8
CANO_biomass_2,2013,4.4
CANO_biomass_2,2014,2.6
CANO_biomass_2,2015,30.0
CANO_biomass_2,2016,1.0
CANO_biomass_2,2018,30.4
CANO_biomass_2,2019,2.0
CANO_biomass_2,2020,13.8
CANO_biomass_2,2021,7.0
CANO_biomass_2,2022,3.0
CANO_biomass_2,2023,2.0
CANO_conventional_hydroelectric_1,1900,6.4
