GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
CANO_naturalgas_ccccsavgcf_conservative_0,2050,NaturalGas_CCCCSAvgCF_Conservative,CANO,Naturalgas,3.16552e-06,.,7.57913
CANO_naturalgas_ccavgcf_moderate_0,2030,NaturalGas_CCAvgCF_Moderate,CANO,Naturalgas,6.39715e-06,.,8.61991
CANO_naturalgas_ccavgcf_moderate_0,2040,NaturalGas_CCAvgCF_Moderate,CANO,Naturalgas,2.12629e-06,.,2.74247
CANO_naturalgas_ccavgcf_moderate_0,2050,NaturalGas_CCAvgCF_Moderate,CANO,Naturalgas,6.24267e-06,.,7.73898
CANO_naturalgas_ctavgcf_moderate_0,2030,NaturalGas_CTAvgCF_Moderate,CANO,Naturalgas,8.18651e-06,.,8.81484
CANO_naturalgas_ctavgcf_moderate_0,2040,NaturalGas_CTAvgCF_Moderate,CANO,Naturalgas,2.81895e-06,.,2.85751
CANO_naturalgas_ctavgcf_moderate_0,2050,NaturalGas_CTAvgCF_Moderate,CANO,Naturalgas,8.27296e-06,.,7.98519
CANO_battery_moderate_0,2030,Battery_*_Moderate,CANO,Electricity,9.12269e-05,0.000371942,101.086
CANO_battery_moderate_0,2040,Battery_*_Moderate,CANO,Electricity,6425.85,38071.9,7.46634e+09
CANO_battery_moderate_0,2050,Battery_*_Moderate,CANO,Electricity,17999.5,108932,1.84107e+10
CANO_nuclear_nuclear_moderate_0,2030,Nuclear_Nuclear_Moderate,CANO,Uranium,5.26619e-06,.,48.9472
CANO_nuclear_nuclear_moderate_0,2040,Nuclear_Nuclear_Moderate,CANO,Uranium,2.24545e-06,.,19.9069
CANO_nuclear_nuclear_moderate_0,2050,Nuclear_Nuclear_Moderate,CANO,Uranium,8.90589e-06,.,73.7274
CANO_hydrogen_ctavgcf_moderate_0,2030,Hydrogen_CTAvgCF_Moderate,CANO,Hydrogen,9.23375e-06,.,10.8467
CANO_hydrogen_ctavgcf_moderate_0,2040,Hydrogen_CTAvgCF_Moderate,CANO,Hydrogen,3.67857e-06,.,4.06593
CANO_hydrogen_ctavgcf_moderate_0,2050,Hydrogen_CTAvgCF_Moderate,CANO,Hydrogen,1.09013e-05,.,11.4681
CANO_hydrogen_ccavgcf_moderate_0,2030,Hydrogen_CCAvgCF_Moderate,CANO,Hydrogen,1.36297e-05,.,20.0691
CANO_hydrogen_ccavgcf_moderate_0,2040,Hydrogen_CCAvgCF_Moderate,CANO,Hydrogen,4.17212e-05,.,58.7861
CANO_hydrogen_ccavgcf_moderate_0,2050,Hydrogen_CCAvgCF_Moderate,CANO,Hydrogen,0.000225333,.,305.081
CANO_landbasedwind_class3_moderate_0,2030,LandbasedWind_Class3_Moderate,CANO,Wind,1.67286e-05,.,52.9536
CANO_landbasedwind_class3_moderate_0,2040,LandbasedWind_Class3_Moderate,CANO,Wind,2.76819e-05,.,74.3013
CANO_landbasedwind_class3_moderate_0,2050,LandbasedWind_Class3_Moderate,CANO,Wind,0.000359506,.,892.475
CANO_landbasedwind_class3_moderate_1,2030,LandbasedWind_Class3_Moderate,CANO,Wind,2.893e-05,.,93.3531
CANO_landbasedwind_class3_moderate_1,2040,LandbasedWind_Class3_Moderate,CANO,Wind,1266.84,.,3.47813e+09
CANO_landbasedwind_class3_moderate_1,2050,LandbasedWind_Class3_Moderate,CANO,Wind,4.28119e-06,.,10.891
