GenCapacity_index_1,GenCapacity_index_2,GenCapacity
MISS_natural_gas_fired_combined_cycle_1,2040,18203.3
MISS_natural_gas_fired_combined_cycle_1,2050,18105.3
MISS_natural_gas_fired_combined_cycle_2,2030,2670.0
MISS_natural_gas_fired_combined_cycle_2,2040,2377.0
MISS_natural_gas_fired_combined_cycle_2,2050,2339.0
MISS_natural_gas_fired_combustion_turbine_1,2030,4170.3
MISS_natural_gas_fired_combustion_turbine_1,2040,3846.3
MISS_natural_gas_fired_combustion_turbine_1,2050,3119.5
MISS_natural_gas_fired_combustion_turbine_2,2030,4937.000000000001
MISS_natural_gas_fired_combustion_turbine_2,2040,4613.0
MISS_natural_gas_fired_combustion_turbine_2,2050,3849.1
MISS_natural_gas_internal_combustion_engine_1,2030,109.30000000000001
MISS_natural_gas_internal_combustion_engine_1,2040,107.80000000000001
MISS_natural_gas_internal_combustion_engine_1,2050,107.80000000000001
MISS_natural_gas_steam_turbine_1,2030,3307.2000000000003
MISS_natural_gas_steam_turbine_1,2040,0.0
MISS_natural_gas_steam_turbine_1,2050,0.0
MISS_natural_gas_steam_turbine_2,2030,100.80000000000001
MISS_natural_gas_steam_turbine_2,2040,76.6
MISS_natural_gas_steam_turbine_2,2050,30.0
MISS_nuclear_1,2030,5426.0
MISS_nuclear_1,2040,5426.0
MISS_nuclear_1,2050,5426.0
MISS_onshore_wind_turbine_1,2030,184.5
MISS_onshore_wind_turbine_1,2040,184.5
MISS_onshore_wind_turbine_1,2050,184.5
MISS_petroleum_liquids_1,2030,40.9
MISS_petroleum_liquids_1,2040,39.3
MISS_petroleum_liquids_1,2050,3.6
MISS_small_hydroelectric_1,2030,62.699999999999996
MISS_small_hydroelectric_1,2040,62.699999999999996
MISS_small_hydroelectric_1,2050,62.699999999999996
MISS_solar_photovoltaic_1,2030,2207.9
MISS_solar_photovoltaic_1,2040,2207.9
MISS_solar_photovoltaic_1,2050,1988.2
MISW_batteries_1,2030,31.200000000000003
MISW_batteries_1,2040,0.0
MISW_batteries_1,2050,0.0
MISW_biomass_1,2030,341.6
MISW_biomass_1,2040,245.49999999999994
MISW_biomass_1,2050,160.0
MISW_biomass_2,2030,176.2
MISW_biomass_2,2040,160.2
MISW_biomass_2,2050,103.6
MISW_conventional_hydroelectric_1,2030,99.0
MISW_conventional_hydroelectric_1,2040,90.0
MISW_conventional_hydroelectric_1,2050,67.3
MISW_conventional_steam_coal_1,2030,11964.3
MISW_conventional_steam_coal_1,2040,10236.999999999998
MISW_conventional_steam_coal_1,2050,2915.2
MISW_conventional_steam_coal_2,2030,473.3
MISW_conventional_steam_coal_2,2040,473.3
MISW_conventional_steam_coal_2,2050,473.3
MISW_natural_gas_fired_combined_cycle_1,2030,1477.1000000000001
MISW_natural_gas_fired_combined_cycle_1,2040,1111.4
MISW_natural_gas_fired_combined_cycle_1,2050,1111.4
MISW_natural_gas_fired_combined_cycle_2,2030,7005.1
MISW_natural_gas_fired_combined_cycle_2,2040,7005.1
MISW_natural_gas_fired_combined_cycle_2,2050,6847.1
MISW_natural_gas_fired_combustion_turbine_1,2030,722.9
MISW_natural_gas_fired_combustion_turbine_1,2040,706.3000000000001
MISW_natural_gas_fired_combustion_turbine_1,2050,667.8000000000001
MISW_natural_gas_fired_combustion_turbine_2,2030,5776.3
MISW_natural_gas_fired_combustion_turbine_2,2040,5776.3
MISW_natural_gas_fired_combustion_turbine_2,2050,4119.5
MISW_natural_gas_fired_combustion_turbine_3,2030,5776.3
MISW_natural_gas_fired_combustion_turbine_3,2040,5776.3
MISW_natural_gas_fired_combustion_turbine_3,2050,4119.5
MISW_natural_gas_internal_combustion_engine_1,2030,735.0000000000001
MISW_natural_gas_internal_combustion_engine_1,2040,685.0000000000001
MISW_natural_gas_internal_combustion_engine_1,2050,668.2
MISW_natural_gas_steam_turbine_1,2030,242.00000000000003
MISW_natural_gas_steam_turbine_1,2040,161.6
MISW_natural_gas_steam_turbine_1,2050,146.9
MISW_nuclear_1,2030,2943.2
MISW_nuclear_1,2040,2943.2
MISW_nuclear_1,2050,2943.2
MISW_onshore_wind_turbine_1,2030,23339.0
MISW_onshore_wind_turbine_1,2040,16919.9
MISW_onshore_wind_turbine_1,2050,5930.200000000001
MISW_petroleum_liquids_1,2030,1292.2999999999997
MISW_petroleum_liquids_1,2040,829.2000000000003
MISW_petroleum_liquids_1,2050,197.6
MISW_small_hydroelectric_1,2030,397.8
MISW_small_hydroelectric_1,2040,342.1000000000001
MISW_small_hydroelectric_1,2050,259.40000000000003
MISW_solar_photovoltaic_1,2030,3131.6000000000004
MISW_solar_photovoltaic_1,2040,3131.6000000000004
MISW_solar_photovoltaic_1,2050,2183.3999999999996
NWPP_batteries_1,2030,136.0
NWPP_batteries_1,2040,100.0
NWPP_batteries_1,2050,0.0
NWPP_biomass_1,2030,225.2
NWPP_biomass_1,2040,145.7
NWPP_biomass_1,2050,121.7
NWPP_biomass_2,2030,230.60000000000002
NWPP_biomass_2,2040,146.2
NWPP_biomass_2,2050,95.79999999999998
NWPP_conventional_hydroelectric_1,2030,31625.599999999995
NWPP_conventional_hydroelectric_1,2040,31006.899999999994
NWPP_conventional_hydroelectric_1,2050,28778.499999999996
NWPP_conventional_steam_coal_1,2030,1481.5
NWPP_conventional_steam_coal_1,2040,1481.5
NWPP_conventional_steam_coal_1,2050,741.5
NWPP_conventional_steam_coal_2,2030,147.5
