,Race,Cluster,Pollutant,Exposure
284,Asian,FRCC_batteries_1,VOC,0.0
285,Asian,FRCC_biomass_1,NH3,2.681879962904604e-11
286,Asian,FRCC_biomass_1,NOx,8.404165022564275e-12
287,Asian,FRCC_biomass_1,PM2_5,5.799623807874052e-11
288,Asian,FRCC_biomass_1,SOx,4.874415718315251e-11
289,Asian,FRCC_biomass_1,VOC,1.5670153232171597e-12
290,Asian,FRCC_biomass_2,NH3,9.432425920620354e-12
291,Asian,FRCC_biomass_2,NOx,8.716981672564299e-12
292,Asian,FRCC_biomass_2,PM2_5,1.9544200286457673e-11
293,Asian,FRCC_biomass_2,SOx,3.43238384981812e-11
294,Asian,FRCC_biomass_2,VOC,7.082197882067644e-13
295,Asian,FRCC_conventional_hydroelectric_1,NH3,0.0
296,Asian,FRCC_conventional_hydroelectric_1,NOx,0.0
297,Asian,FRCC_conventional_hydroelectric_1,PM2_5,0.0
298,Asian,FRCC_conventional_hydroelectric_1,SOx,0.0
299,Asian,FRCC_conventional_hydroelectric_1,VOC,0.0
300,Asian,FRCC_conventional_steam_coal_1,NH3,1.2557414622902336e-11
301,Asian,FRCC_conventional_steam_coal_1,NOx,8.286442709926538e-12
302,Asian,FRCC_conventional_steam_coal_1,PM2_5,4.930450269059138e-11
303,Asian,FRCC_conventional_steam_coal_1,SOx,8.332487102262426e-11
304,Asian,FRCC_conventional_steam_coal_1,VOC,3.704445460694562e-13
305,Asian,FRCC_conventional_steam_coal_2,NH3,2.6326498226965997e-12
306,Asian,FRCC_conventional_steam_coal_2,NOx,1.708694977934398e-11
307,Asian,FRCC_conventional_steam_coal_2,PM2_5,2.7521136200104117e-11
308,Asian,FRCC_conventional_steam_coal_2,SOx,6.039480106828687e-11
309,Asian,FRCC_conventional_steam_coal_2,VOC,2.7455351290639977e-13
310,Asian,FRCC_natural_gas_fired_combined_cycle_1,NH3,8.779953169021606e-12
311,Asian,FRCC_natural_gas_fired_combined_cycle_1,NOx,3.9470282085920964e-12
312,Asian,FRCC_natural_gas_fired_combined_cycle_1,PM2_5,2.0721568838602802e-11
313,Asian,FRCC_natural_gas_fired_combined_cycle_1,SOx,5.530957903242037e-13
314,Asian,FRCC_natural_gas_fired_combined_cycle_1,VOC,6.275826982487673e-13
315,Asian,FRCC_natural_gas_fired_combined_cycle_2,NH3,6.420081186246135e-12
316,Asian,FRCC_natural_gas_fired_combined_cycle_2,NOx,1.08924676763842e-12
317,Asian,FRCC_natural_gas_fired_combined_cycle_2,PM2_5,1.3438116139409024e-11
318,Asian,FRCC_natural_gas_fired_combined_cycle_2,SOx,2.864902455293794e-13
319,Asian,FRCC_natural_gas_fired_combined_cycle_2,VOC,1.797517628059771e-13
320,Asian,FRCC_natural_gas_fired_combustion_turbine_1,NH3,1.928564871334201e-11
321,Asian,FRCC_natural_gas_fired_combustion_turbine_1,NOx,8.51777408757076e-12
322,Asian,FRCC_natural_gas_fired_combustion_turbine_1,PM2_5,2.8990968347657537e-11
323,Asian,FRCC_natural_gas_fired_combustion_turbine_1,SOx,4.325313522316941e-12
324,Asian,FRCC_natural_gas_fired_combustion_turbine_1,VOC,9.161677514564942e-13
325,Asian,FRCC_natural_gas_fired_combustion_turbine_2,NH3,1.476917691730493e-11
326,Asian,FRCC_natural_gas_fired_combustion_turbine_2,NOx,1.0241708421124756e-11
327,Asian,FRCC_natural_gas_fired_combustion_turbine_2,PM2_5,2.8171927233769415e-11
328,Asian,FRCC_natural_gas_fired_combustion_turbine_2,SOx,5.319002451246179e-13
329,Asian,FRCC_natural_gas_fired_combustion_turbine_2,VOC,6.367432276417602e-13
330,Asian,FRCC_natural_gas_internal_combustion_engine_1,NH3,0.0
331,Asian,FRCC_natural_gas_internal_combustion_engine_1,NOx,4.295860059303074e-11
332,Asian,FRCC_natural_gas_internal_combustion_engine_1,PM2_5,2.150191462573677e-10
333,Asian,FRCC_natural_gas_internal_combustion_engine_1,SOx,2.167843825918639e-12
334,Asian,FRCC_natural_gas_internal_combustion_engine_1,VOC,6.050221667177819e-12
335,Asian,FRCC_natural_gas_steam_turbine_1,NH3,7.068365372523526e-12
336,Asian,FRCC_natural_gas_steam_turbine_1,NOx,1.2040169816960989e-11
337,Asian,FRCC_natural_gas_steam_turbine_1,PM2_5,2.3738750237396008e-11
338,Asian,FRCC_natural_gas_steam_turbine_1,SOx,1.3663128257649244e-12
339,Asian,FRCC_natural_gas_steam_turbine_1,VOC,1.2206652679680978e-12
340,Asian,FRCC_naturalgas_ccavgcf_moderate_0,NH3,6.945039686174491e-10
341,Asian,FRCC_naturalgas_ccavgcf_moderate_0,NOx,1.73978433369955e-10
342,Asian,FRCC_naturalgas_ccavgcf_moderate_0,PM2_5,2.192694935317383e-09
343,Asian,FRCC_naturalgas_ccavgcf_moderate_0,SOx,2.108694182935366e-11
344,Asian,FRCC_naturalgas_ccavgcf_moderate_0,VOC,1.6010308360054704e-11
345,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,NH3,7.818629462730957e-10
