,Race,Cluster,Pollutant,Exposure,year
220,Asian,CASO_petroleum_liquids_1,NH3,4.0136322138093757e-10,2050
221,Asian,CASO_petroleum_liquids_1,NOx,1.1765534883880233e-10,2050
222,Asian,CASO_petroleum_liquids_1,PM2_5,2.5649896125135537e-09,2050
223,Asian,CASO_petroleum_liquids_1,SOx,1.2646122671846214e-11,2050
224,Asian,CASO_petroleum_liquids_1,VOC,1.279920951313605e-11,2050
225,Asian,CASO_small_hydroelectric_1,NH3,0.0,2050
226,Asian,CASO_small_hydroelectric_1,NOx,0.0,2050
227,Asian,CASO_small_hydroelectric_1,PM2_5,0.0,2050
228,Asian,CASO_small_hydroelectric_1,SOx,0.0,2050
229,Asian,CASO_small_hydroelectric_1,VOC,0.0,2050
230,Asian,CASO_solar_photovoltaic_1,NH3,0.0,2050
231,Asian,CASO_solar_photovoltaic_1,NOx,0.0,2050
232,Asian,CASO_solar_photovoltaic_1,PM2_5,0.0,2050
233,Asian,CASO_solar_photovoltaic_1,SOx,0.0,2050
234,Asian,CASO_solar_photovoltaic_1,VOC,0.0,2050
235,Asian,FRCC_biomass_1,NH3,1.3202972369281715e-11,2050
236,Asian,FRCC_biomass_1,NOx,4.522127632627272e-12,2050
237,Asian,FRCC_biomass_1,PM2_5,6.8001766283929716e-12,2050
238,Asian,FRCC_biomass_1,SOx,1.452708852801875e-12,2050
239,Asian,FRCC_biomass_1,VOC,1.2436257929571796e-13,2050
240,Asian,FRCC_biomass_2,NH3,1.8620057092747872e-11,2050
241,Asian,FRCC_biomass_2,NOx,8.158632457739339e-12,2050
242,Asian,FRCC_biomass_2,PM2_5,9.72633535339242e-12,2050
243,Asian,FRCC_biomass_2,SOx,2.1659774537013374e-12,2050
244,Asian,FRCC_biomass_2,VOC,2.036696866301609e-13,2050
245,Asian,FRCC_conventional_hydroelectric_1,NH3,0.0,2050
246,Asian,FRCC_conventional_hydroelectric_1,NOx,0.0,2050
247,Asian,FRCC_conventional_hydroelectric_1,PM2_5,0.0,2050
248,Asian,FRCC_conventional_hydroelectric_1,SOx,0.0,2050
249,Asian,FRCC_conventional_hydroelectric_1,VOC,0.0,2050
250,Asian,FRCC_conventional_steam_coal_1,NH3,9.605100435850624e-13,2050
251,Asian,FRCC_conventional_steam_coal_1,NOx,2.7496040039864597e-11,2050
252,Asian,FRCC_conventional_steam_coal_1,PM2_5,1.1106700550033207e-10,2050
253,Asian,FRCC_conventional_steam_coal_1,SOx,1.6409034968196767e-10,2050
254,Asian,FRCC_conventional_steam_coal_1,VOC,1.5308637973882426e-12,2050
255,Asian,FRCC_conventional_steam_coal_2,NH3,3.734006130951011e-12,2050
256,Asian,FRCC_conventional_steam_coal_2,NOx,5.787592869504533e-12,2050
257,Asian,FRCC_conventional_steam_coal_2,PM2_5,1.4069920205204695e-11,2050
258,Asian,FRCC_conventional_steam_coal_2,SOx,5.993738309472325e-11,2050
259,Asian,FRCC_conventional_steam_coal_2,VOC,1.1743085222103502e-13,2050
260,Asian,FRCC_natural_gas_fired_combined_cycle_1,NH3,9.338200856196354e-12,2050
261,Asian,FRCC_natural_gas_fired_combined_cycle_1,NOx,4.124819179943025e-12,2050
262,Asian,FRCC_natural_gas_fired_combined_cycle_1,PM2_5,2.176993799762305e-11,2050
263,Asian,FRCC_natural_gas_fired_combined_cycle_1,SOx,5.806316837515154e-13,2050
264,Asian,FRCC_natural_gas_fired_combined_cycle_1,VOC,6.701715583725892e-13,2050
265,Asian,FRCC_natural_gas_fired_combined_cycle_2,NH3,6.1077995267475095e-12,2050
266,Asian,FRCC_natural_gas_fired_combined_cycle_2,NOx,1.0334015504868825e-12,2050
267,Asian,FRCC_natural_gas_fired_combined_cycle_2,PM2_5,1.3341959616303723e-11,2050
268,Asian,FRCC_natural_gas_fired_combined_cycle_2,SOx,2.839366007647958e-13,2050
269,Asian,FRCC_natural_gas_fired_combined_cycle_2,VOC,1.8348412856412307e-13,2050
270,Asian,FRCC_natural_gas_fired_combustion_turbine_1,NH3,9.761315678938725e-12,2050
271,Asian,FRCC_natural_gas_fired_combustion_turbine_1,NOx,2.8676072202241824e-12,2050
272,Asian,FRCC_natural_gas_fired_combustion_turbine_1,PM2_5,1.878389630841904e-11,2050
273,Asian,FRCC_natural_gas_fired_combustion_turbine_1,SOx,5.665129080331395e-13,2050
274,Asian,FRCC_natural_gas_fired_combustion_turbine_1,VOC,4.1037205201873425e-13,2050
275,Asian,FRCC_natural_gas_fired_combustion_turbine_2,NH3,2.2763924696721256e-12,2050
276,Asian,FRCC_natural_gas_fired_combustion_turbine_2,NOx,1.1418436187424029e-12,2050
277,Asian,FRCC_natural_gas_fired_combustion_turbine_2,PM2_5,3.884799390202374e-12,2050
278,Asian,FRCC_natural_gas_fired_combustion_turbine_2,SOx,1.333357077785843e-13,2050
279,Asian,FRCC_natural_gas_fired_combustion_turbine_2,VOC,1.0680670866300421e-13,2050
280,Asian,FRCC_natural_gas_internal_combustion_engine_1,NH3,0.0,2050
281,Asian,FRCC_natural_gas_internal_combustion_engine_1,NOx,5.106526518182912e-11,2050
282,Asian,FRCC_natural_gas_internal_combustion_engine_1,PM2_5,2.0995806997572742e-10,2050
283,Asian,FRCC_natural_gas_internal_combustion_engine_1,SOx,2.1980392767388057e-12,2050
284,Asian,FRCC_natural_gas_internal_combustion_engine_1,VOC,6.05233003513001e-12,2050
285,Asian,FRCC_natural_gas_steam_turbine_1,NH3,1.423657516789273e-11,2050
286,Asian,FRCC_natural_gas_steam_turbine_1,NOx,7.076296278482981e-12,2050
287,Asian,FRCC_natural_gas_steam_turbine_1,PM2_5,6.262027203196415e-11,2050
288,Asian,FRCC_natural_gas_steam_turbine_1,SOx,3.09415546242488e-12,2050
289,Asian,FRCC_natural_gas_steam_turbine_1,VOC,4.230195042238402e-12,2050
290,Asian,FRCC_naturalgas_ccavgcf_moderate_0,NH3,4.794454164997393e-12,2050
291,Asian,FRCC_naturalgas_ccavgcf_moderate_0,NOx,7.930219737570731e-13,2050
292,Asian,FRCC_naturalgas_ccavgcf_moderate_0,PM2_5,1.0714640918904599e-11,2050
293,Asian,FRCC_naturalgas_ccavgcf_moderate_0,SOx,2.7846016530751986e-13,2050
294,Asian,FRCC_naturalgas_ccavgcf_moderate_0,VOC,2.360243851337637e-13,2050
295,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,NH3,5.397530177353513e-12,2050
296,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,NOx,8.927731581892771e-13,2050
297,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,PM2_5,1.2062394450158705e-11,2050
298,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,SOx,3.1348660098973353e-13,2050
299,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,VOC,2.657129875604012e-13,2050
300,Asian,FRCC_naturalgas_ctavgcf_moderate_0,NH3,8.079956063590094e-12,2050
301,Asian,FRCC_naturalgas_ctavgcf_moderate_0,NOx,2.094320338605863e-12,2050
302,Asian,FRCC_naturalgas_ctavgcf_moderate_0,PM2_5,6.5299717383922024e-12,2050
303,Asian,FRCC_naturalgas_ctavgcf_moderate_0,SOx,2.059784681033179e-13,2050
304,Asian,FRCC_naturalgas_ctavgcf_moderate_0,VOC,2.573156602433247e-13,2050
305,Asian,FRCC_nuclear_1,NH3,0.0,2050
306,Asian,FRCC_nuclear_1,NOx,0.0,2050
307,Asian,FRCC_nuclear_1,PM2_5,0.0,2050
308,Asian,FRCC_nuclear_1,SOx,0.0,2050
309,Asian,FRCC_nuclear_1,VOC,0.0,2050
310,Asian,FRCC_petroleum_liquids_1,NH3,8.92317549426516e-12,2050
311,Asian,FRCC_petroleum_liquids_1,NOx,6.947095673081032e-13,2050
312,Asian,FRCC_petroleum_liquids_1,PM2_5,3.010712185583584e-11,2050
313,Asian,FRCC_petroleum_liquids_1,SOx,1.1630632821292175e-13,2050
314,Asian,FRCC_petroleum_liquids_1,VOC,7.316838668247448e-13,2050
315,Asian,FRCC_solar_photovoltaic_1,NH3,0.0,2050
316,Asian,FRCC_solar_photovoltaic_1,NOx,0.0,2050
317,Asian,FRCC_solar_photovoltaic_1,PM2_5,0.0,2050
318,Asian,FRCC_solar_photovoltaic_1,SOx,0.0,2050
319,Asian,FRCC_solar_photovoltaic_1,VOC,0.0,2050
320,Asian,ISNE_biomass_2,NH3,2.377509210580421e-11,2050
321,Asian,ISNE_biomass_2,NOx,9.54795473358111e-12,2050
322,Asian,ISNE_biomass_2,PM2_5,1.3725684638289745e-11,2050
323,Asian,ISNE_biomass_2,SOx,2.545247342473516e-12,2050
324,Asian,ISNE_biomass_2,VOC,1.4944296866011695e-13,2050
325,Asian,ISNE_conventional_hydroelectric_1,NH3,0.0,2050
326,Asian,ISNE_conventional_hydroelectric_1,NOx,0.0,2050
327,Asian,ISNE_conventional_hydroelectric_1,PM2_5,0.0,2050
328,Asian,ISNE_conventional_hydroelectric_1,SOx,0.0,2050
329,Asian,ISNE_conventional_hydroelectric_1,VOC,0.0,2050
330,Asian,ISNE_hydroelectric_pumped_storage_1,NH3,0.0,2050
331,Asian,ISNE_hydroelectric_pumped_storage_1,NOx,0.0,2050
332,Asian,ISNE_hydroelectric_pumped_storage_1,PM2_5,0.0,2050
333,Asian,ISNE_hydroelectric_pumped_storage_1,SOx,0.0,2050
